created_date,Delhi_0,Delhi_1,Delhi_10,Delhi_2,Delhi_3,Delhi_4,Delhi_5,Delhi_6,Delhi_7,Delhi_8,Delhi_9
02/01/23,374,208,63,221,120,129,147,22,69,64,169
03/01/23,158,124,75,180,106,162,173,40,69,54,137
04/01/23,148,148,72,172,113,139,146,33,56,54,137
05/01/23,166,144,91,138,137,145,174,39,93,115,121
06/01/23,189,123,86,139,100,151,123,33,67,47,117
07/01/23,188,140,77,144,101,117,108,23,69,50,130
08/01/23,117,73,60,60,70,89,70,19,53,32,81
09/01/23,193,162,112,151,131,161,147,22,74,52,143
10/01/23,155,149,123,148,112,185,172,24,72,65,131
11/01/23,177,145,95,185,119,159,140,33,67,56,157
12/01/23,135,132,89,154,132,144,154,31,69,58,132
13/01/23,163,138,87,187,121,142,157,31,79,49,152
14/01/23,161,103,73,143,113,141,177,21,69,56,111
15/01/23,98,89,58,80,77,77,151,15,48,25,95
16/01/23,126,176,91,149,108,177,167,29,72,95,146
17/01/23,142,135,72,142,89,140,188,24,82,47,163
18/01/23,141,104,109,159,142,210,155,22,64,40,116
19/01/23,119,117,70,210,128,149,160,19,83,41,101
20/01/23,147,124,84,182,113,151,158,17,76,44,114
21/01/23,133,141,74,150,129,146,166,39,57,44,123
22/01/23,110,79,72,67,86,123,127,15,41,27,80
23/01/23,175,149,96,154,116,161,127,28,73,45,178
24/01/23,131,125,83,190,114,154,152,26,71,62,127
25/01/23,141,139,62,163,103,139,153,18,72,59,103
26/01/23,112,61,39,64,64,82,48,9,29,46,69
27/01/23,188,112,73,206,106,150,171,28,82,39,138
28/01/23,123,116,65,152,126,111,150,17,47,63,134
29/01/23,123,70,68,76,73,83,59,12,28,45,73
30/01/23,181,154,107,146,136,182,147,32,69,58,180
31/01/23,251,136,91,174,113,171,178,18,63,59,170
01/02/23,229,132,81,189,90,144,155,30,59,46,140
02/02/23,170,135,83,158,115,154,146,18,46,79,137
03/02/23,149,116,71,122,119,140,187,20,62,61,129
04/02/23,141,116,120,188,108,117,194,31,48,56,131
05/02/23,93,86,61,97,90,85,93,12,38,41,92
06/02/23,179,205,75,196,105,151,139,32,48,74,138
07/02/23,167,154,63,188,111,157,172,24,53,84,132
08/02/23,134,110,72,153,95,158,113,25,55,59,146
09/02/23,225,186,70,154,101,118,125,18,65,54,121
10/02/23,166,180,80,141,100,154,149,46,60,68,109
11/02/23,201,172,90,169,160,127,166,28,79,82,149
12/02/23,141,135,115,132,109,127,105,23,52,58,91
13/02/23,154,231,77,192,119,194,151,26,58,69,112
14/02/23,140,136,82,177,100,140,160,28,55,60,141
15/02/23,154,138,75,149,109,142,143,18,41,60,114
16/02/23,147,151,89,152,156,147,156,11,71,51,106
17/02/23,158,160,101,195,127,130,169,25,53,80,110
18/02/23,170,162,109,127,137,148,167,20,51,83,110
19/02/23,148,107,61,92,98,118,127,16,48,53,86
20/02/23,200,182,65,200,133,164,171,23,57,61,129
21/02/23,167,149,79,186,135,148,188,35,69,133,166
22/02/23,139,126,71,183,105,138,132,15,59,61,163
23/02/23,147,131,55,150,123,123,224,11,48,44,126
24/02/23,143,111,72,195,99,141,158,20,68,64,113
25/02/23,140,106,68,145,91,141,180,24,46,58,116
26/02/23,138,89,58,121,71,104,109,19,24,45,118
27/02/23,169,137,92,164,131,161,129,24,55,64,177
28/02/23,124,163,66,203,177,145,135,28,65,76,182
01/03/23,144,146,67,191,116,125,161,21,59,50,158
02/03/23,164,147,70,193,146,139,316,19,70,58,142
03/03/23,144,155,107,163,109,153,183,17,65,48,145
04/03/23,141,126,70,183,132,147,170,26,60,66,129
05/03/23,99,99,92,78,81,83,122,15,47,37,103
06/03/23,130,163,81,216,112,159,163,20,64,66,145
07/03/23,186,165,136,162,178,210,171,29,100,108,164
08/03/23,72,45,49,59,68,77,53,3,18,42,76
09/03/23,173,152,99,185,156,163,162,27,67,67,160
10/03/23,189,180,78,194,136,173,178,33,76,76,173
11/03/23,205,113,101,183,145,171,157,26,66,76,136
12/03/23,141,94,80,114,114,142,107,13,35,63,106
13/03/23,179,176,113,205,155,193,119,29,95,97,161
14/03/23,123,166,82,151,131,128,159,29,58,72,156
15/03/23,143,165,100,208,129,169,139,23,58,76,131
16/03/23,159,151,85,172,154,117,146,28,66,54,144
17/03/23,151,117,85,170,105,134,104,24,80,61,134
18/03/23,179,135,72,150,98,147,103,21,62,67,125
19/03/23,155,85,72,91,111,111,76,23,32,35,100
20/03/23,131,175,110,165,127,154,112,32,72,59,158
21/03/23,152,160,85,213,154,188,178,29,53,112,137
22/03/23,179,123,92,151,143,114,131,24,61,51,113
23/03/23,148,120,85,164,124,139,115,27,53,63,116
24/03/23,118,139,81,110,90,112,132,19,61,72,117
25/03/23,145,105,82,134,96,133,132,18,64,48,121
26/03/23,132,78,81,109,118,126,93,16,35,46,113
27/03/23,157,136,84,185,97,146,123,34,69,60,146
28/03/23,111,119,62,140,99,126,200,19,67,35,147
29/03/23,140,121,63,114,94,108,175,28,45,33,132
30/03/23,114,112,78,104,128,122,128,25,46,35,135
31/03/23,176,126,103,134,105,139,140,25,55,50,131
01/04/23,144,129,85,117,101,117,125,57,43,43,117
02/04/23,130,89,55,84,92,85,83,25,32,51,138
03/04/23,153,165,90,151,121,150,104,35,72,56,176
04/04/23,140,140,59,130,135,144,118,33,55,45,154
05/04/23,119,121,71,122,103,121,152,26,62,43,130
06/04/23,149,122,78,133,148,95,133,21,65,50,138
07/04/23,181,141,95,134,128,99,134,18,70,46,136
08/04/23,153,131,81,144,109,121,146,18,51,55,127
